genome_accession	accession_no_version	assembly_version	accession_source_line	all_record_count	all_unique_locus_count	all_valid_coordinate_locus_count	all_hit_scaffold_count	all_total_bp_1based_closed	all_total_bp_end_minus_begin	transposable_flag_positive_record_count	transposable_flag_positive_unique_locus_count	transposable_flag_positive_valid_coordinate_locus_count	transposable_flag_positive_hit_scaffold_count	transposable_flag_positive_total_bp_1based_closed	transposable_flag_positive_total_bp_end_minus_begin	taxonomy_assigned_record_count	taxonomy_assigned_unique_locus_count	taxonomy_assigned_valid_coordinate_locus_count	taxonomy_assigned_hit_scaffold_count	taxonomy_assigned_total_bp_1based_closed	taxonomy_assigned_total_bp_end_minus_begin
GCF_003980595.1	GCF_003980595	1	12075	7	7	7	7	169515	169508	1	1	1	1	27606	27605	7	7	7	7	169515	169508
GCF_003980635.1	GCF_003980635	1	12076	4	4	4	3	106782	106778	1	1	1	1	19045	19044	4	4	4	3	106782	106778
GCF_003980655.1	GCF_003980655	1	12077	2	2	2	2	57639	57637	0	0	0	0	0	0	2	2	2	2	57639	57637
GCF_003980665.1	GCF_003980665	1	12078	7	7	7	7	169515	169508	1	1	1	1	27606	27605	7	7	7	7	169515	169508
GCF_003980675.1	GCF_003980675	1	12079	6	6	6	6	80121	80115	0	0	0	0	0	0	5	5	5	5	69531	69526
GCF_003980695.1	GCF_003980695	1	12080	5	5	5	5	71515	71510	0	0	0	0	0	0	4	4	4	4	60925	60921
GCF_003980705.1	GCF_003980705	1	12081	6	6	6	6	136690	136684	1	1	1	1	28115	28114	6	6	6	6	136690	136684
GCF_003980755.1	GCF_003980755	1	12082	4	4	4	4	53567	53563	2	2	2	2	22138	22136	4	4	4	4	53567	53563
GCF_003980775.1	GCF_003980775	1	12083	7	7	7	7	169515	169508	1	1	1	1	27606	27605	7	7	7	7	169515	169508
GCF_003980785.1	GCF_003980785	1	12084	6	6	6	6	147305	147299	1	1	1	1	27606	27605	6	6	6	6	147305	147299
GCF_003980795.1	GCF_003980795	1	12085	2	2	2	2	37798	37796	0	0	0	0	0	0	2	2	2	2	37798	37796
GCF_003980805.1	GCF_003980805	1	12086	1	1	1	1	25201	25200	0	0	0	0	0	0	1	1	1	1	25201	25200
GCF_003980855.1	GCF_003980855	1	12087	7	7	7	7	165585	165578	0	0	0	0	0	0	6	6	6	6	144833	144827
GCF_003980875.1	GCF_003980875	1	12088	5	5	5	5	101868	101863	0	0	0	0	0	0	3	3	3	3	61629	61626
GCF_003980885.1	GCF_003980885	1	12089	7	7	7	7	153631	153624	0	0	0	0	0	0	6	6	6	6	132879	132873
GCF_003980905.1	GCF_003980905	1	12090	7	7	7	7	161543	161536	0	0	0	0	0	0	6	6	6	6	140791	140785
GCF_003980925.1	GCF_003980925	1	12091	4	4	4	4	75391	75387	0	0	0	0	0	0	3	3	3	3	57146	57143
GCF_003980975.1	GCF_003980975	1	12092	3	3	3	3	78285	78282	0	0	0	0	0	0	3	3	3	3	78285	78282
GCF_003980985.1	GCF_003980985	1	12093	6	6	6	6	79003	78997	0	0	0	0	0	0	5	5	5	5	68413	68408
GCF_003980995.1	GCF_003980995	1	12094	3	3	3	3	67335	67332	0	0	0	0	0	0	3	3	3	3	67335	67332
GCF_003981035.1	GCF_003981035	1	12095	3	3	3	3	46016	46013	0	0	0	0	0	0	2	2	2	2	44046	44044
GCF_003981045.1	GCF_003981045	1	12096	3	3	3	3	80426	80423	1	1	1	1	9251	9250	3	3	3	3	80426	80423
GCF_003981055.1	GCF_003981055	1	12097	5	5	5	5	79573	79568	0	0	0	0	0	0	4	4	4	4	70269	70265
GCF_003981095.1	GCF_003981095	1	12098	3	3	3	3	49180	49177	0	0	0	0	0	0	3	3	3	3	49180	49177
GCF_003981105.1	GCF_003981105	1	12099	6	6	6	6	98342	98336	0	0	0	0	0	0	5	5	5	5	87752	87747
GCF_003981135.1	GCF_003981135	1	12100	5	5	5	5	72711	72706	0	0	0	0	0	0	4	4	4	4	62121	62117
GCF_003981145.1	GCF_003981145	1	12101	8	8	8	7	107563	107555	0	0	0	0	0	0	7	7	7	6	98259	98252
GCF_003981155.1	GCF_003981155	1	12102	6	6	6	6	99606	99600	0	0	0	0	0	0	6	6	6	6	99606	99600
GCF_003981165.1	GCF_003981165	1	12103	1	1	1	1	37569	37568	1	1	1	1	37569	37568	1	1	1	1	37569	37568
GCF_003981215.1	GCF_003981215	1	12104	2	2	2	2	41230	41228	0	0	0	0	0	0	2	2	2	2	41230	41228
GCF_003981235.1	GCF_003981235	1	12105	6	6	6	6	99994	99988	0	0	0	0	0	0	5	5	5	5	88870	88865
GCF_003981245.1	GCF_003981245	1	12106	2	2	2	2	74442	74440	0	0	0	0	0	0	2	2	2	2	74442	74440
GCF_003981255.1	GCF_003981255	1	12107	6	6	6	6	98535	98529	0	0	0	0	0	0	5	5	5	5	87945	87940
GCF_003981275.1	GCF_003981275	1	12108	4	4	4	3	55332	55328	0	0	0	0	0	0	3	3	3	3	46253	46250
GCF_003981285.1	GCF_003981285	1	12109	4	4	4	3	116101	116097	0	0	0	0	0	0	4	4	4	3	116101	116097
GCF_003981335.1	GCF_003981335	1	12110	6	6	6	6	97549	97543	0	0	0	0	0	0	5	5	5	5	86959	86954
GCF_003981345.1	GCF_003981345	1	12111	5	5	5	4	92719	92714	0	0	0	0	0	0	4	4	4	4	83046	83042
GCF_003981355.1	GCF_003981355	1	12112	3	3	3	3	56481	56478	2	2	2	2	51569	51567	3	3	3	3	56481	56478
GCF_003981385.1	GCF_003981385	1	12113	4	4	4	3	70876	70872	0	0	0	0	0	0	3	3	3	3	60652	60649
GCF_003981395.1	GCF_003981395	1	12114	3	3	3	3	66634	66631	0	0	0	0	0	0	3	3	3	3	66634	66631
GCF_003981435.1	GCF_003981435	1	12115	6	6	6	6	79135	79129	0	0	0	0	0	0	5	5	5	5	68545	68540
GCF_003981445.1	GCF_003981445	1	12116	2	2	2	2	45826	45824	0	0	0	0	0	0	2	2	2	2	45826	45824
GCF_003981455.1	GCF_003981455	1	12117	5	5	5	5	71647	71642	0	0	0	0	0	0	4	4	4	4	61057	61053
GCF_003981475.1	GCF_003981475	1	12118	7	7	7	7	167948	167941	1	1	1	1	28115	28114	6	6	6	6	164980	164974
GCF_003981485.1	GCF_003981485	1	12119	6	6	6	6	97417	97411	0	0	0	0	0	0	5	5	5	5	86827	86822
GCF_003981535.1	GCF_003981535	1	12120	2	2	2	2	43291	43289	0	0	0	0	0	0	2	2	2	2	43291	43289
GCF_003981545.1	GCF_003981545	1	12121	7	7	7	7	151439	151432	1	1	1	1	28115	28114	6	6	6	6	148471	148465
GCF_003981555.1	GCF_003981555	1	12122	6	6	6	6	97417	97411	0	0	0	0	0	0	5	5	5	5	86827	86822
GCF_003981565.1	GCF_003981565	1	12123	3	3	3	3	56481	56478	1	1	1	1	37569	37568	3	3	3	3	56481	56478
GCF_003981575.1	GCF_003981575	1	12124	6	6	6	6	135523	135517	1	1	1	1	27606	27605	6	6	6	6	135523	135517
GCF_003981635.1	GCF_003981635	1	12125	6	6	6	6	147305	147299	1	1	1	1	27606	27605	6	6	6	6	147305	147299
GCF_003981645.1	GCF_003981645	1	12126	2	2	2	2	37653	37651	0	0	0	0	0	0	2	2	2	2	37653	37651
GCF_003981655.1	GCF_003981655	1	12127	1	1	1	1	25201	25200	0	0	0	0	0	0	1	1	1	1	25201	25200
GCF_003981665.1	GCF_003981665	1	12128	4	4	4	4	66855	66851	0	0	0	0	0	0	4	4	4	4	66855	66851
GCF_003981675.1	GCF_003981675	1	12129	2	2	2	2	43292	43290	0	0	0	0	0	0	2	2	2	2	43292	43290
GCF_003981745.1	GCF_003981745	1	12130	6	6	6	6	98957	98951	2	2	2	2	48671	48669	4	4	4	4	89668	89664
GCF_003981765.1	GCF_003981765	1	12131	1	1	1	1	33031	33030	0	0	0	0	0	0	1	1	1	1	33031	33030
GCF_003981775.1	GCF_003981775	1	12132	6	6	6	6	97259	97253	0	0	0	0	0	0	5	5	5	5	87620	87615
GCF_003981835.1	GCF_003981835	1	12133	6	6	6	6	96957	96951	2	2	2	2	48566	48564	5	5	5	5	94235	94230
GCF_003981845.1	GCF_003981845	1	12134	6	6	6	6	97127	97121	0	0	0	0	0	0	5	5	5	5	87488	87483
GCF_003981855.1	GCF_003981855	1	12135	4	4	4	4	65643	65639	2	2	2	2	48566	48564	3	3	3	3	62921	62918
GCF_003981865.1	GCF_003981865	1	12136	2	2	2	2	44402	44400	0	0	0	0	0	0	2	2	2	2	44402	44400
GCF_003981885.1	GCF_003981885	1	12137	3	3	3	3	79746	79743	1	1	1	1	40265	40264	3	3	3	3	79746	79743
GCF_003981935.1	GCF_003981935	1	12138	5	5	5	5	71647	71642	0	0	0	0	0	0	4	4	4	4	61057	61053
GCF_003981945.1	GCF_003981945	1	12139	5	5	5	5	71647	71642	0	0	0	0	0	0	4	4	4	4	61057	61053
GCF_003981955.1	GCF_003981955	1	12140	3	3	3	3	70567	70564	0	0	0	0	0	0	3	3	3	3	70567	70564
GCF_003981965.1	GCF_003981965	1	12141	6	6	6	6	92773	92767	0	0	0	0	0	0	5	5	5	5	82183	82178
GCF_003981975.1	GCF_003981975	1	12142	1	1	1	1	25583	25582	0	0	0	0	0	0	1	1	1	1	25583	25582
GCF_003982035.1	GCF_003982035	1	12143	6	6	6	6	147818	147812	0	0	0	0	0	0	6	6	6	6	147818	147812
GCF_003982045.1	GCF_003982045	1	12144	3	3	3	3	64073	64070	0	0	0	0	0	0	3	3	3	3	64073	64070
GCF_003982055.1	GCF_003982055	1	12145	6	6	6	6	97417	97411	0	0	0	0	0	0	5	5	5	5	86827	86822
GCF_003982065.1	GCF_003982065	1	12146	2	2	2	2	70632	70630	0	0	0	0	0	0	2	2	2	2	70632	70630
GCF_003982105.1	GCF_003982105	1	12147	5	5	5	5	71515	71510	0	0	0	0	0	0	4	4	4	4	60925	60921
GCF_003982135.1	GCF_003982135	1	12148	6	6	6	6	97549	97543	0	0	0	0	0	0	5	5	5	5	86959	86954
GCF_003982145.1	GCF_003982145	1	12149	4	4	4	4	88408	88404	0	0	0	0	0	0	4	4	4	4	88408	88404
GCF_003982155.1	GCF_003982155	1	12150	6	6	6	6	97549	97543	0	0	0	0	0	0	5	5	5	5	86959	86954
GCF_003982165.1	GCF_003982165	1	12151	4	4	4	4	94579	94575	0	0	0	0	0	0	4	4	4	4	94579	94575
GCF_003982175.1	GCF_003982175	1	12152	3	3	3	3	91802	91799	1	1	1	1	40265	40264	3	3	3	3	91802	91799
GCF_003982235.1	GCF_003982235	1	12153	4	4	4	3	85568	85564	0	0	0	0	0	0	3	3	3	3	63893	63890
GCF_003982245.1	GCF_003982245	1	12154	4	4	4	4	98501	98497	1	1	1	1	40265	40264	4	4	4	4	98501	98497
GCF_003982255.1	GCF_003982255	1	12155	3	3	3	3	80442	80439	0	0	0	0	0	0	3	3	3	3	80442	80439
GCF_003982265.1	GCF_003982265	1	12156	4	4	4	4	60925	60921	0	0	0	0	0	0	4	4	4	4	60925	60921
GCF_003982275.1	GCF_003982275	1	12157	6	6	6	6	98535	98529	0	0	0	0	0	0	5	5	5	5	87945	87940
GCF_003982335.1	GCF_003982335	1	12158	6	6	6	6	92773	92767	0	0	0	0	0	0	5	5	5	5	82183	82178
GCF_003982345.1	GCF_003982345	1	12159	4	4	4	4	97237	97233	0	0	0	0	0	0	3	3	3	3	80102	80099
GCF_003982355.1	GCF_003982355	1	12160	5	5	5	5	71515	71510	0	0	0	0	0	0	4	4	4	4	60925	60921
GCF_003982365.1	GCF_003982365	1	12161	3	3	3	3	69419	69416	0	0	0	0	0	0	3	3	3	3	69419	69416
GCF_003982395.1	GCF_003982395	1	12162	7	7	7	7	111379	111372	0	0	0	0	0	0	6	6	6	6	100789	100783
GCF_003982435.1	GCF_003982435	1	12163	4	4	4	4	53010	53006	0	0	0	0	0	0	3	3	3	3	43706	43703
GCF_003982445.1	GCF_003982445	1	12164	5	5	5	5	71647	71642	0	0	0	0	0	0	4	4	4	4	61057	61053
GCF_003982475.1	GCF_003982475	1	12165	5	5	5	5	72765	72760	0	0	0	0	0	0	4	4	4	4	62175	62171
GCF_003982485.1	GCF_003982485	1	12166	3	3	3	3	124891	124888	1	1	1	1	45765	45764	3	3	3	3	124891	124888
GCF_003982495.1	GCF_003982495	1	12167	5	5	5	5	72633	72628	0	0	0	0	0	0	4	4	4	4	62043	62039
GCF_003982535.1	GCF_003982535	1	12168	3	3	3	3	30483	30480	0	0	0	0	0	0	2	2	2	2	22319	22317
GCF_003982545.1	GCF_003982545	1	12169	4	4	4	4	67051	67047	0	0	0	0	0	0	4	4	4	4	67051	67047
GCF_003982555.1	GCF_003982555	1	12170	1	1	1	1	31803	31802	0	0	0	0	0	0	1	1	1	1	31803	31802
GCF_003982575.1	GCF_003982575	1	12171	5	5	5	5	89062	89057	0	0	0	0	0	0	4	4	4	4	79758	79754
GCF_003982585.1	GCF_003982585	1	12172	4	4	4	4	54296	54292	0	0	0	0	0	0	3	3	3	3	43706	43703
GCF_003982635.1	GCF_003982635	1	12173	1	1	1	1	4442	4441	0	0	0	0	0	0	1	1	1	1	4442	4441
GCF_003982645.1	GCF_003982645	1	12174	4	4	4	4	47322	47318	0	0	0	0	0	0	2	2	2	2	34495	34493
GCF_003982655.1	GCF_003982655	1	12175	5	5	5	5	71647	71642	0	0	0	0	0	0	4	4	4	4	61057	61053
GCF_003982675.1	GCF_003982675	1	12176	2	2	2	2	28555	28553	0	0	0	0	0	0	2	2	2	2	28555	28553
GCF_003982695.1	GCF_003982695	1	12177	5	5	5	5	71515	71510	0	0	0	0	0	0	4	4	4	4	60925	60921
GCF_003982735.1	GCF_003982735	1	12178	3	3	3	3	77020	77017	2	2	2	2	50618	50616	3	3	3	3	77020	77017
GCF_003982755.1	GCF_003982755	1	12179	5	5	5	5	72607	72602	2	2	2	2	50618	50616	4	4	4	4	69885	69881
GCF_003982765.1	GCF_003982765	1	12180	4	4	4	4	63981	63977	1	1	1	1	21237	21236	3	3	3	3	59619	59616
GCF_003982775.1	GCF_003982775	1	12181	6	6	6	6	95234	95228	0	0	0	0	0	0	5	5	5	5	84644	84639
GCF_003982795.1	GCF_003982795	1	12182	4	4	4	4	53010	53006	0	0	0	0	0	0	3	3	3	3	43706	43703
GCF_003982805.1	GCF_003982805	1	12183	5	5	5	5	125816	125811	0	0	0	0	0	0	5	5	5	5	125816	125811
GCF_003982855.1	GCF_003982855	1	12184	4	4	4	3	82752	82748	0	0	0	0	0	0	3	3	3	2	66695	66692
GCF_003982865.1	GCF_003982865	1	12185	6	6	6	6	97367	97361	0	0	0	0	0	0	5	5	5	5	86777	86772
GCF_003982895.1	GCF_003982895	1	12186	5	5	5	5	86777	86772	0	0	0	0	0	0	5	5	5	5	86777	86772
GCF_003982905.1	GCF_003982905	1	12187	5	5	5	5	71515	71510	0	0	0	0	0	0	4	4	4	4	60925	60921
GCF_003982935.1	GCF_003982935	1	12188	6	6	6	6	97420	97414	0	0	0	0	0	0	5	5	5	5	87945	87940
GCF_003982945.1	GCF_003982945	1	12189	5	5	5	5	71515	71510	0	0	0	0	0	0	4	4	4	4	60925	60921
GCF_003982965.1	GCF_003982965	1	12190	2	2	2	2	31497	31495	0	0	0	0	0	0	2	2	2	2	31497	31495
GCF_003982995.1	GCF_003982995	1	12191	3	3	3	3	41869	41866	0	0	0	0	0	0	3	3	3	3	41869	41866
GCF_003983015.1	GCF_003983015	1	12192	6	6	6	6	95051	95045	0	0	0	0	0	0	5	5	5	5	84461	84456
GCF_003983025.1	GCF_003983025	1	12193	2	2	2	2	57440	57438	1	1	1	1	40265	40264	2	2	2	2	57440	57438
GCF_003983055.1	GCF_003983055	1	12194	4	4	4	4	55567	55563	0	0	0	0	0	0	3	3	3	3	41869	41866
GCF_003983065.1	GCF_003983065	1	12195	6	6	6	6	97417	97411	0	0	0	0	0	0	5	5	5	5	86827	86822
GCF_003983075.1	GCF_003983075	1	12196	3	3	3	3	74967	74964	0	0	0	0	0	0	3	3	3	3	74967	74964
GCF_003983115.1	GCF_003983115	1	12197	3	3	3	3	41869	41866	0	0	0	0	0	0	3	3	3	3	41869	41866
GCF_003983125.1	GCF_003983125	1	12198	3	3	3	3	90517	90514	1	1	1	1	40265	40264	3	3	3	3	90517	90514
GCF_003983155.1	GCF_003983155	1	12199	6	6	6	6	101024	101018	0	0	0	0	0	0	5	5	5	5	87510	87505
GCF_003983165.1	GCF_003983165	1	12200	8	8	8	8	146094	146086	0	0	0	0	0	0	6	6	6	6	140565	140559
GCF_003983175.1	GCF_003983175	1	12201	4	4	4	4	59184	59180	0	0	0	0	0	0	4	4	4	4	59184	59180
GCF_003983215.1	GCF_003983215	1	12202	5	5	5	3	85441	85436	0	0	0	0	0	0	4	4	4	3	77154	77150
GCF_003983225.1	GCF_003983225	1	12203	6	6	6	6	97418	97412	0	0	0	0	0	0	5	5	5	5	86828	86823
GCF_003983245.1	GCF_003983245	1	12204	5	5	5	5	161691	161686	1	1	1	1	39238	39237	5	5	5	5	161691	161686
GCF_003983275.1	GCF_003983275	1	12205	6	6	6	4	103964	103958	0	0	0	0	0	0	4	4	4	3	77154	77150
GCF_003983285.1	GCF_003983285	1	12206	6	6	6	6	97417	97411	0	0	0	0	0	0	5	5	5	5	86827	86822
GCF_003983315.1	GCF_003983315	1	12207	6	6	6	6	95102	95096	0	0	0	0	0	0	5	5	5	5	84512	84507
GCF_003983335.1	GCF_003983335	1	12208	4	4	4	4	54554	54550	0	0	0	0	0	0	4	4	4	4	54554	54550
GCF_003983345.1	GCF_003983345	1	12209	6	6	6	6	98535	98529	0	0	0	0	0	0	5	5	5	5	87945	87940
GCF_003983365.1	GCF_003983365	1	12210	3	3	3	3	45658	45655	0	0	0	0	0	0	3	3	3	3	45658	45655
GCF_003983375.1	GCF_003983375	1	12211	6	6	6	6	97417	97411	0	0	0	0	0	0	5	5	5	5	86827	86822
GCF_003983415.1	GCF_003983415	1	12212	3	3	3	3	72108	72105	0	0	0	0	0	0	3	3	3	3	72108	72105
GCF_003983435.1	GCF_003983435	1	12213	6	6	6	6	91966	91960	0	0	0	0	0	0	4	4	4	4	69476	69472
GCF_003983445.1	GCF_003983445	1	12214	1	1	1	1	10403	10402	0	0	0	0	0	0	1	1	1	1	10403	10402
GCF_003983455.1	GCF_003983455	1	12215	2	2	2	2	47882	47880	1	1	1	1	24667	24666	2	2	2	2	47882	47880
GCF_003983465.1	GCF_003983465	1	12216	6	6	6	6	98535	98529	0	0	0	0	0	0	5	5	5	5	87945	87940
GCF_003983475.1	GCF_003983475	1	12217	6	6	6	6	97418	97412	0	0	0	0	0	0	5	5	5	5	86828	86823
GCF_003983535.1	GCF_003983535	1	12218	5	5	5	5	73743	73738	0	0	0	0	0	0	4	4	4	4	63153	63149
GCF_003983545.1	GCF_003983545	1	12219	6	6	6	6	97417	97411	0	0	0	0	0	0	5	5	5	5	86827	86822
GCF_003983575.1	GCF_003983575	1	12220	5	5	5	5	78780	78775	0	0	0	0	0	0	4	4	4	4	69476	69472
GCF_003983585.1	GCF_003983585	1	12221	5	5	5	5	72633	72628	0	0	0	0	0	0	4	4	4	4	62043	62039
GCF_003983595.1	GCF_003983595	1	12222	6	6	6	6	155798	155792	0	0	0	0	0	0	6	6	6	6	155798	155792
GCF_003983615.1	GCF_003983615	1	12223	4	4	4	4	60925	60921	0	0	0	0	0	0	4	4	4	4	60925	60921
GCF_003983655.1	GCF_003983655	1	12224	3	3	3	3	105983	105980	1	1	1	1	31156	31155	3	3	3	3	105983	105980
GCF_003983675.1	GCF_003983675	1	12225	4	4	4	4	94967	94963	0	0	0	0	0	0	4	4	4	4	94967	94963
GCF_003983685.1	GCF_003983685	1	12226	2	2	2	2	62740	62738	0	0	0	0	0	0	2	2	2	2	62740	62738
GCF_003983695.1	GCF_003983695	1	12227	3	3	3	3	98398	98395	0	0	0	0	0	0	3	3	3	3	98398	98395
GCF_003983725.1	GCF_003983725	1	12228	6	6	6	6	95101	95095	0	0	0	0	0	0	5	5	5	5	84511	84506
GCF_003983755.1	GCF_003983755	1	12229	5	5	5	5	71515	71510	0	0	0	0	0	0	4	4	4	4	60925	60921
GCF_003983775.1	GCF_003983775	1	12230	5	5	5	5	71514	71509	0	0	0	0	0	0	4	4	4	4	60924	60920
GCF_003983795.1	GCF_003983795	1	12231	5	5	5	5	74358	74353	0	0	0	0	0	0	4	4	4	4	65054	65050
GCF_003983805.1	GCF_003983805	1	12232	3	3	3	3	77020	77017	2	2	2	2	50618	50616	3	3	3	3	77020	77017
GCF_003983815.1	GCF_003983815	1	12233	1	1	1	1	5867	5866	0	0	0	0	0	0	1	1	1	1	5867	5866
GCF_003983855.1	GCF_003983855	1	12234	2	2	2	2	43043	43041	1	1	1	1	40265	40264	2	2	2	2	43043	43041
GCF_003983865.1	GCF_003983865	1	12235	3	3	3	3	97313	97310	0	0	0	0	0	0	3	3	3	3	97313	97310
GCF_003983885.1	GCF_003983885	1	12236	2	2	2	2	57440	57438	1	1	1	1	40265	40264	2	2	2	2	57440	57438
GCF_003983905.1	GCF_003983905	1	12237	6	6	6	6	92773	92767	0	0	0	0	0	0	5	5	5	5	82183	82178
GCF_003983925.1	GCF_003983925	1	12238	2	2	2	2	57440	57438	1	1	1	1	40265	40264	2	2	2	2	57440	57438
GCF_003983945.1	GCF_003983945	1	12239	3	3	3	3	57595	57592	0	0	0	0	0	0	2	2	2	2	39350	39348
GCF_003983975.1	GCF_003983975	1	12240	5	5	5	5	71465	71460	0	0	0	0	0	0	4	4	4	4	60875	60871
GCF_003983985.1	GCF_003983985	1	12241	3	3	3	3	75190	75187	0	0	0	0	0	0	3	3	3	3	75190	75187
GCF_003983995.1	GCF_003983995	1	12242	4	4	4	4	50657	50653	0	0	0	0	0	0	4	4	4	4	50657	50653
GCF_003984025.1	GCF_003984025	1	12243	6	6	6	6	89779	89773	1	1	1	1	36159	36158	6	6	6	6	89779	89773
GCF_003984045.1	GCF_003984045	1	12244	2	2	2	2	34243	34241	0	0	0	0	0	0	2	2	2	2	34243	34241
GCF_003984075.1	GCF_003984075	1	12245	6	6	6	6	97418	97412	0	0	0	0	0	0	5	5	5	5	86828	86823
GCF_003984085.1	GCF_003984085	1	12246	5	5	5	5	78780	78775	0	0	0	0	0	0	4	4	4	4	69476	69472
GCF_003984095.1	GCF_003984095	1	12247	6	6	6	6	97417	97411	0	0	0	0	0	0	5	5	5	5	86827	86822
GCF_003984105.1	GCF_003984105	1	12248	6	6	6	6	98211	98205	0	0	0	0	0	0	5	5	5	5	87621	87616
GCF_003984145.1	GCF_003984145	1	12249	6	6	6	6	97550	97544	0	0	0	0	0	0	5	5	5	5	86960	86955
GCF_003984175.1	GCF_003984175	1	12250	3	3	3	3	75622	75619	0	0	0	0	0	0	3	3	3	3	75622	75619
GCF_003984185.1	GCF_003984185	1	12251	5	5	5	5	69332	69327	0	0	0	0	0	0	4	4	4	4	58742	58738
GCF_003984195.1	GCF_003984195	1	12252	6	6	6	6	97549	97543	0	0	0	0	0	0	5	5	5	5	86959	86954
GCF_003984205.1	GCF_003984205	1	12253	3	3	3	3	36609	36606	0	0	0	0	0	0	3	3	3	3	36609	36606
GCF_003984255.1	GCF_003984255	1	12254	5	5	5	5	71516	71511	0	0	0	0	0	0	4	4	4	4	60926	60922
GCF_003984275.1	GCF_003984275	1	12255	3	3	3	3	81299	81296	0	0	0	0	0	0	3	3	3	3	81299	81296
GCF_003984285.1	GCF_003984285	1	12256	2	2	2	2	31763	31761	0	0	0	0	0	0	1	1	1	1	15411	15410
GCF_003984295.1	GCF_003984295	1	12257	6	6	6	6	97418	97412	0	0	0	0	0	0	5	5	5	5	86828	86823
GCF_003984305.1	GCF_003984305	1	12258	4	4	4	4	52369	52365	0	0	0	0	0	0	3	3	3	3	29782	29779
GCF_003984325.1	GCF_003984325	1	12259	2	2	2	2	26934	26932	0	0	0	0	0	0	1	1	1	1	19381	19380
GCF_003984375.1	GCF_003984375	1	12260	3	3	3	3	79300	79297	0	0	0	0	0	0	3	3	3	3	79300	79297
GCF_003984385.1	GCF_003984385	1	12261	3	3	3	3	87641	87638	0	0	0	0	0	0	3	3	3	3	87641	87638
GCF_003984395.1	GCF_003984395	1	12262	4	4	4	4	101741	101737	1	1	1	1	40265	40264	4	4	4	4	101741	101737
GCF_003984405.1	GCF_003984405	1	12263	3	3	3	3	80982	80979	0	0	0	0	0	0	3	3	3	3	80982	80979
GCF_003984445.1	GCF_003984445	1	12264	5	5	5	5	78912	78907	0	0	0	0	0	0	4	4	4	4	69608	69604
GCF_003984475.1	GCF_003984475	1	12265	5	5	5	5	108602	108597	1	1	1	1	40265	40264	4	4	4	4	100508	100504
GCF_003984485.1	GCF_003984485	1	12266	4	4	4	4	118680	118676	0	0	0	0	0	0	4	4	4	4	118680	118676
GCF_003984495.1	GCF_003984495	1	12267	5	5	5	5	69332	69327	0	0	0	0	0	0	4	4	4	4	58742	58738
GCF_003984505.1	GCF_003984505	1	12268	6	6	6	6	97550	97544	0	0	0	0	0	0	5	5	5	5	86960	86955
GCF_003984525.1	GCF_003984525	1	12269	5	5	5	5	71516	71511	0	0	0	0	0	0	4	4	4	4	60926	60922
GCF_003984575.1	GCF_003984575	1	12270	3	3	3	3	73885	73882	0	0	0	0	0	0	3	3	3	3	73885	73882
GCF_003984585.1	GCF_003984585	1	12271	6	6	6	6	95895	95889	0	0	0	0	0	0	5	5	5	5	85305	85300
GCF_003988215.1	GCF_003988215	1	12272	4	4	4	4	42804	42800	0	0	0	0	0	0	3	3	3	3	40485	40482
GCF_003988225.1	GCF_003988225	1	12273	2	2	2	2	32482	32480	0	0	0	0	0	0	2	2	2	2	32482	32480
GCF_003988275.1	GCF_003988275	1	12274	3	3	3	3	50561	50558	0	0	0	0	0	0	3	3	3	3	50561	50558
GCF_003988285.1	GCF_003988285	1	12275	4	4	4	4	119485	119481	0	0	0	0	0	0	4	4	4	4	119485	119481
GCF_003988295.1	GCF_003988295	1	12276	5	5	5	5	158506	158501	0	0	0	0	0	0	5	5	5	5	158506	158501
GCF_003988315.1	GCF_003988315	1	12277	6	6	6	4	142145	142139	0	0	0	0	0	0	5	5	5	4	137611	137606
GCF_003988355.1	GCF_003988355	1	12278	5	5	5	5	99764	99759	0	0	0	0	0	0	3	3	3	3	81267	81264
GCF_003988365.1	GCF_003988365	1	12279	1	1	1	1	31166	31165	0	0	0	0	0	0	1	1	1	1	31166	31165
GCF_003988395.1	GCF_003988395	1	12280	6	6	6	6	226186	226180	0	0	0	0	0	0	6	6	6	6	226186	226180
GCF_003988775.1	GCF_003988775	1	12281	5	5	5	4	120324	120319	0	0	0	0	0	0	5	5	5	4	120324	120319
GCF_003989585.1	GCF_003989585	1	12282	2	2	2	2	66544	66542	0	0	0	0	0	0	2	2	2	2	66544	66542
GCF_003991155.1	GCF_003991155	1	12283	6	6	6	2	135046	135040	0	0	0	0	0	0	5	5	5	2	129681	129676
GCF_003999775.1	GCF_003999775	1	12284	10	10	10	1	355909	355899	1	1	1	1	40344	40343	9	9	9	1	335575	335566
GCF_003999795.1	GCF_003999795	1	12285	4	4	4	1	150852	150848	1	1	1	1	39610	39609	4	4	4	1	150852	150848
GCF_003999815.1	GCF_003999815	1	12286	6	6	6	3	163434	163428	2	2	2	1	66821	66819	4	4	4	3	128568	128564
GCF_003999835.1	GCF_003999835	1	12287	6	6	6	3	163434	163428	2	2	2	1	66821	66819	4	4	4	3	128568	128564
GCF_003999855.1	GCF_003999855	1	12288	4	4	4	2	110171	110167	1	1	1	1	21931	21930	4	4	4	2	110171	110167
GCF_003999985.1	GCF_003999985	1	12289	1	1	1	1	9608	9607	0	0	0	0	0	0	0	0	0	0	0	0
