sequence,cluster,genome
GCF_005221825.1_prophage_2,2,GCF_005221825.1
GCF_005221865.1_prophage_4,3,GCF_005221865.1
GCF_005221865.1_prophage_5,15,GCF_005221865.1
GCF_005221865.1_prophage_9,1,GCF_005221865.1
GCF_005221885.1_prophage_6,2,GCF_005221885.1
GCF_005221945.1_prophage_9,1,GCF_005221945.1
GCF_005221965.1_prophage_5,15,GCF_005221965.1
GCF_005221985.1_prophage_4,3,GCF_005221985.1
GCF_005222045.1_prophage_1,2,GCF_005222045.1
GCF_005222065.1_prophage_11,2,GCF_005222065.1
GCF_005222305.1_prophage_13,2,GCF_005222305.1
GCF_005222385.1_prophage_11,2,GCF_005222385.1
GCF_005222405.1_prophage_12,1,GCF_005222405.1
GCF_005222445.1_prophage_10,2,GCF_005222445.1
GCF_005380605.1_prophage_5,7,GCF_005380605.1
GCF_005380685.1_prophage_5,12,GCF_005380685.1
GCF_005380765.1_prophage_2,12,GCF_005380765.1
GCF_005380845.1_prophage_3,3,GCF_005380845.1
GCF_005380865.1_prophage_7,7,GCF_005380865.1
GCF_005380985.1_prophage_1,12,GCF_005380985.1
GCF_005381085.1_prophage_1,2,GCF_005381085.1
GCF_005381125.1_prophage_6,1,GCF_005381125.1
GCF_005381205.1_prophage_6,4,GCF_005381205.1
GCF_005381345.1_prophage_8,3,GCF_005381345.1
GCF_005381525.1_prophage_4,20,GCF_005381525.1
GCF_005381545.1_prophage_5,14,GCF_005381545.1
GCF_005381605.1_prophage_3,13,GCF_005381605.1
GCF_005381985.1_prophage_2,3,GCF_005381985.1
GCF_005382065.1_prophage_4,19,GCF_005382065.1
GCF_005382325.1_prophage_7,13,GCF_005382325.1
GCF_005382425.1_prophage_1,16,GCF_005382425.1
GCF_005382465.1_prophage_3,15,GCF_005382465.1
GCF_005382545.1_prophage_2,16,GCF_005382545.1
GCF_005382585.1_prophage_5,15,GCF_005382585.1
GCF_005382655.1_prophage_3,2,GCF_005382655.1
GCF_005382705.1_prophage_3,15,GCF_005382705.1
GCF_005382865.1_prophage_3,13,GCF_005382865.1
GCF_005382885.1_prophage_8,2,GCF_005382885.1
GCF_005382905.1_prophage_2,2,GCF_005382905.1
GCF_005382965.1_prophage_2,3,GCF_005382965.1
GCF_005383065.1_prophage_6,17,GCF_005383065.1
GCF_005383305.1_prophage_4,17,GCF_005383305.1
GCF_005383325.1_prophage_3,13,GCF_005383325.1
GCF_005383345.1_prophage_1,18,GCF_005383345.1
GCF_005383385.1_prophage_1,15,GCF_005383385.1
GCF_005383385.1_prophage_2,1,GCF_005383385.1
GCF_005383465.1_prophage_1,9,GCF_005383465.1
GCF_005383545.1_prophage_2,1,GCF_005383545.1
GCF_005383545.1_prophage_4,14,GCF_005383545.1
GCF_005383545.1_prophage_7,13,GCF_005383545.1
GCF_005383665.1_prophage_2,3,GCF_005383665.1
GCF_005383905.1_prophage_1,3,GCF_005383905.1
GCF_005383945.1_prophage_3,3,GCF_005383945.1
GCF_005384025.1_prophage_1,16,GCF_005384025.1
GCF_005384045.1_prophage_1,12,GCF_005384045.1
GCF_005384045.1_prophage_4,15,GCF_005384045.1
GCF_005384085.1_prophage_1,12,GCF_005384085.1
GCF_005384265.1_prophage_5,8,GCF_005384265.1
GCF_005384425.1_prophage_4,19,GCF_005384425.1
GCF_005384465.1_prophage_3,20,GCF_005384465.1
GCF_005384565.1_prophage_2,8,GCF_005384565.1
GCF_005385065.1_prophage_4,16,GCF_005385065.1
GCF_005385205.1_prophage_1,7,GCF_005385205.1
GCF_005385285.1_prophage_3,12,GCF_005385285.1
GCF_005385425.1_prophage_5,8,GCF_005385425.1
GCF_005385425.1_prophage_7,12,GCF_005385425.1
GCF_005385665.1_prophage_4,10,GCF_005385665.1
GCF_005385865.1_prophage_5,11,GCF_005385865.1
GCF_005385985.1_prophage_4,12,GCF_005385985.1
GCF_005386105.1_prophage_7,3,GCF_005386105.1
GCF_005386125.1_prophage_1,16,GCF_005386125.1
GCF_005386165.1_prophage_3,7,GCF_005386165.1
GCF_005386345.1_prophage_1,2,GCF_005386345.1
GCF_005386585.1_prophage_5,1,GCF_005386585.1
GCF_005386745.1_prophage_3,3,GCF_005386745.1
GCF_005386965.1_prophage_4,9,GCF_005386965.1
GCF_005387025.1_prophage_5,19,GCF_005387025.1
GCF_005387225.1_prophage_3,14,GCF_005387225.1
GCF_005387405.1_prophage_2,3,GCF_005387405.1
GCF_005387445.1_prophage_2,20,GCF_005387445.1
GCF_005387705.1_prophage_5,19,GCF_005387705.1
GCF_005387735.1_prophage_5,4,GCF_005387735.1
GCF_005387835.1_prophage_4,13,GCF_005387835.1
GCF_005387885.1_prophage_6,9,GCF_005387885.1
GCF_005387925.1_prophage_1,15,GCF_005387925.1
GCF_005387925.1_prophage_3,1,GCF_005387925.1
GCF_005388185.1_prophage_3,4,GCF_005388185.1
GCF_005388245.1_prophage_1,18,GCF_005388245.1
GCF_005388305.1_prophage_4,7,GCF_005388305.1
GCF_005388385.1_prophage_2,6,GCF_005388385.1
GCF_005388385.1_prophage_8,19,GCF_005388385.1
GCF_005388565.1_prophage_10,18,GCF_005388565.1
GCF_005388625.1_prophage_3,14,GCF_005388625.1
GCF_005388645.1_prophage_1,1,GCF_005388645.1
GCF_005388645.1_prophage_2,19,GCF_005388645.1
GCF_005388785.1_prophage_1,1,GCF_005388785.1
GCF_005388905.1_prophage_1,13,GCF_005388905.1
GCF_005388925.1_prophage_4,1,GCF_005388925.1
GCF_005389005.1_prophage_5,7,GCF_005389005.1
GCF_005389045.1_prophage_1,13,GCF_005389045.1
GCF_005389085.1_prophage_3,15,GCF_005389085.1
GCF_005389105.1_prophage_2,1,GCF_005389105.1
GCF_005389185.1_prophage_1,13,GCF_005389185.1
GCF_005389185.1_prophage_4,2,GCF_005389185.1
GCF_005389385.1_prophage_7,1,GCF_005389385.1
GCF_005389405.1_prophage_1,3,GCF_005389405.1
GCF_005389665.1_prophage_2,12,GCF_005389665.1
GCF_005389665.1_prophage_3,10,GCF_005389665.1
GCF_005389745.1_prophage_1,20,GCF_005389745.1
GCF_005389905.1_prophage_4,14,GCF_005389905.1
GCF_005390205.1_prophage_4,13,GCF_005390205.1
GCF_005390225.1_prophage_5,20,GCF_005390225.1
GCF_005390365.1_prophage_6,1,GCF_005390365.1
GCF_005390705.1_prophage_3,12,GCF_005390705.1
GCF_005390705.1_prophage_6,12,GCF_005390705.1
GCF_005390725.1_prophage_1,9,GCF_005390725.1
GCF_005390725.1_prophage_4,6,GCF_005390725.1
GCF_005390725.1_prophage_5,3,GCF_005390725.1
GCF_005390865.1_prophage_4,16,GCF_005390865.1
GCF_005391065.1_prophage_5,2,GCF_005391065.1
GCF_005391105.1_prophage_5,16,GCF_005391105.1
GCF_005391125.1_prophage_5,1,GCF_005391125.1
GCF_005391165.1_prophage_4,11,GCF_005391165.1
GCF_005391165.1_prophage_8,3,GCF_005391165.1
GCF_005391285.2_prophage_8,1,GCF_005391285.2
GCF_005391305.1_prophage_6,20,GCF_005391305.1
GCF_005391885.1_prophage_5,15,GCF_005391885.1
GCF_005391945.1_prophage_5,10,GCF_005391945.1
GCF_005391965.1_prophage_8,9,GCF_005391965.1
GCF_005391985.1_prophage_2,6,GCF_005391985.1
GCF_005392245.1_prophage_2,15,GCF_005392245.1
GCF_005392265.1_prophage_4,20,GCF_005392265.1
GCF_005392305.1_prophage_5,17,GCF_005392305.1
GCF_005392305.1_prophage_8,3,GCF_005392305.1
GCF_005392345.1_prophage_1,13,GCF_005392345.1
GCF_005392385.1_prophage_2,4,GCF_005392385.1
GCF_005392385.1_prophage_4,12,GCF_005392385.1
GCF_005392505.1_prophage_1,10,GCF_005392505.1
GCF_005392585.1_prophage_3,10,GCF_005392585.1
GCF_005392685.1_prophage_4,15,GCF_005392685.1
GCF_005392725.1_prophage_1,7,GCF_005392725.1
GCF_005392765.1_prophage_10,20,GCF_005392765.1
GCF_005392785.1_prophage_1,11,GCF_005392785.1
GCF_005392845.1_prophage_1,16,GCF_005392845.1
GCF_005392935.1_prophage_11,7,GCF_005392935.1
GCF_005393145.1_prophage_2,14,GCF_005393145.1
GCF_005393365.1_prophage_1,14,GCF_005393365.1
GCF_005393365.1_prophage_6,2,GCF_005393365.1
GCF_005393845.1_prophage_3,12,GCF_005393845.1
GCF_005393945.1_prophage_7,6,GCF_005393945.1
GCF_005393965.1_prophage_1,9,GCF_005393965.1
GCF_005394465.1_prophage_2,11,GCF_005394465.1
GCF_005394585.1_prophage_1,15,GCF_005394585.1
GCF_005394705.1_prophage_4,13,GCF_005394705.1
GCF_005394725.1_prophage_3,17,GCF_005394725.1
GCF_005394845.1_prophage_3,7,GCF_005394845.1
GCF_005394945.1_prophage_2,10,GCF_005394945.1
GCF_005394985.1_prophage_9,14,GCF_005394985.1
GCF_005395105.1_prophage_6,3,GCF_005395105.1
GCF_005395265.1_prophage_1,2,GCF_005395265.1
GCF_005395385.1_prophage_9,3,GCF_005395385.1
GCF_005395545.1_prophage_2,2,GCF_005395545.1
GCF_005395585.1_prophage_4,13,GCF_005395585.1
GCF_005395585.1_prophage_5,12,GCF_005395585.1
GCF_005395745.1_prophage_3,10,GCF_005395745.1
GCF_005395785.1_prophage_3,1,GCF_005395785.1
GCF_005395945.1_prophage_3,9,GCF_005395945.1
GCF_005395945.1_prophage_4,2,GCF_005395945.1
GCF_005396025.1_prophage_4,13,GCF_005396025.1
GCF_005396165.1_prophage_5,10,GCF_005396165.1
GCF_005396205.1_prophage_3,3,GCF_005396205.1
GCF_005396245.1_prophage_3,13,GCF_005396245.1
GCF_005396405.1_prophage_2,1,GCF_005396405.1
GCF_005396545.1_prophage_3,8,GCF_005396545.1
GCF_005396565.1_prophage_3,12,GCF_005396565.1
GCF_005396845.1_prophage_3,20,GCF_005396845.1
GCF_005396925.1_prophage_5,20,GCF_005396925.1
GCF_005396985.1_prophage_7,3,GCF_005396985.1
GCF_005397085.1_prophage_4,16,GCF_005397085.1
GCF_005397105.1_prophage_1,12,GCF_005397105.1
GCF_005397125.1_prophage_8,12,GCF_005397125.1
GCF_005397145.1_prophage_8,15,GCF_005397145.1
GCF_005397165.1_prophage_6,3,GCF_005397165.1
GCF_005397185.1_prophage_4,7,GCF_005397185.1
GCF_005397225.1_prophage_1,8,GCF_005397225.1
GCF_005397245.1_prophage_2,1,GCF_005397245.1
GCF_005397265.1_prophage_3,3,GCF_005397265.1
GCF_005397325.1_prophage_4,7,GCF_005397325.1
GCF_005397405.1_prophage_7,3,GCF_005397405.1
GCF_005397465.1_prophage_4,14,GCF_005397465.1
GCF_005397585.1_prophage_2,1,GCF_005397585.1
GCF_005397605.1_prophage_1,18,GCF_005397605.1
GCF_005397805.1_prophage_6,3,GCF_005397805.1
GCF_005397825.1_prophage_3,12,GCF_005397825.1
GCF_005397945.1_prophage_2,5,GCF_005397945.1
GCF_005397985.1_prophage_1,3,GCF_005397985.1
GCF_005398085.1_prophage_2,2,GCF_005398085.1
GCF_005398165.1_prophage_5,3,GCF_005398165.1
GCF_005398245.1_prophage_1,14,GCF_005398245.1
GCF_005398265.1_prophage_4,12,GCF_005398265.1
GCF_005398285.1_prophage_5,17,GCF_005398285.1
GCF_005398705.1_prophage_4,14,GCF_005398705.1
GCF_005398725.1_prophage_7,3,GCF_005398725.1
GCF_005398745.1_prophage_4,5,GCF_005398745.1
GCF_005398785.1_prophage_8,14,GCF_005398785.1
GCF_005398845.1_prophage_1,3,GCF_005398845.1
GCF_005398885.1_prophage_6,17,GCF_005398885.1
GCF_005398945.1_prophage_2,1,GCF_005398945.1
GCF_005399165.1_prophage_6,20,GCF_005399165.1
GCF_005399165.1_prophage_8,3,GCF_005399165.1
GCF_005399205.1_prophage_3,3,GCF_005399205.1
GCF_005399245.1_prophage_1,14,GCF_005399245.1
GCF_005399265.1_prophage_1,5,GCF_005399265.1
GCF_005399405.1_prophage_2,14,GCF_005399405.1
GCF_005399645.1_prophage_6,13,GCF_005399645.1
GCF_005399885.1_prophage_3,9,GCF_005399885.1
GCF_005399985.1_prophage_5,13,GCF_005399985.1
GCF_005400085.1_prophage_4,1,GCF_005400085.1
GCF_005400465.1_prophage_12,11,GCF_005400465.1
GCF_005400765.1_prophage_1,10,GCF_005400765.1
GCF_005401165.1_prophage_5,15,GCF_005401165.1
GCF_005401425.1_prophage_3,10,GCF_005401425.1
GCF_005401425.1_prophage_4,13,GCF_005401425.1
GCF_005401685.1_prophage_4,16,GCF_005401685.1
GCF_005401785.1_prophage_8,4,GCF_005401785.1
GCF_005401925.1_prophage_5,14,GCF_005401925.1
GCF_005402005.1_prophage_2,13,GCF_005402005.1
GCF_005402105.1_prophage_1,10,GCF_005402105.1
GCF_005402385.1_prophage_1,1,GCF_005402385.1
GCF_005502265.1_prophage_6,6,GCF_005502265.1
GCF_005508815.1_prophage_4,7,GCF_005508815.1
GCF_005670845.1_prophage_7,13,GCF_005670845.1
GCF_005670875.1_prophage_9,13,GCF_005670875.1
GCF_005671055.1_prophage_1,2,GCF_005671055.1
GCF_005671115.1_prophage_5,1,GCF_005671115.1
GCF_005671135.1_prophage_1,20,GCF_005671135.1
GCF_005671145.1_prophage_1,1,GCF_005671145.1
GCF_005671145.1_prophage_6,8,GCF_005671145.1
GCF_005671315.1_prophage_3,18,GCF_005671315.1
GCF_005671315.1_prophage_6,20,GCF_005671315.1
GCF_005673435.1_prophage_7,1,GCF_005673435.1
GCF_005844555.1_prophage_1,12,GCF_005844555.1
GCF_005869145.1_prophage_5,1,GCF_005869145.1
GCF_005885955.1_prophage_11,2,GCF_005885955.1
GCF_005885955.1_prophage_9,1,GCF_005885955.1
GCF_005889615.1_prophage_1,19,GCF_005889615.1
GCF_005889655.1_prophage_6,17,GCF_005889655.1
GCF_006229365.1_prophage_2,8,GCF_006229365.1
GCF_006229485.1_prophage_5,10,GCF_006229485.1
GCF_006229525.1_prophage_2,18,GCF_006229525.1
GCF_006229635.1_prophage_5,10,GCF_006229635.1
GCF_006229655.1_prophage_5,5,GCF_006229655.1
GCF_006229705.1_prophage_4,11,GCF_006229705.1
GCF_006229755.1_prophage_7,3,GCF_006229755.1
GCF_006229755.1_prophage_8,19,GCF_006229755.1
GCF_006229795.1_prophage_7,3,GCF_006229795.1
GCF_006229965.1_prophage_4,20,GCF_006229965.1
GCF_006229965.1_prophage_6,5,GCF_006229965.1
GCF_006230035.1_prophage_1,1,GCF_006230035.1
GCF_006230075.1_prophage_2,13,GCF_006230075.1
GCF_006230195.1_prophage_4,7,GCF_006230195.1
GCF_006230245.1_prophage_1,4,GCF_006230245.1
GCF_006230315.1_prophage_4,16,GCF_006230315.1
GCF_006230475.1_prophage_4,13,GCF_006230475.1
GCF_006230715.1_prophage_5,19,GCF_006230715.1
GCF_006230715.1_prophage_8,6,GCF_006230715.1
GCF_006230745.1_prophage_8,12,GCF_006230745.1
GCF_006230825.1_prophage_3,18,GCF_006230825.1
GCF_006230855.1_prophage_6,18,GCF_006230855.1
GCF_006230925.1_prophage_6,11,GCF_006230925.1
GCF_006230935.1_prophage_1,2,GCF_006230935.1
GCF_006231115.1_prophage_1,5,GCF_006231115.1
GCF_006231155.1_prophage_2,1,GCF_006231155.1
GCF_006231205.1_prophage_1,13,GCF_006231205.1
GCF_006231425.1_prophage_3,16,GCF_006231425.1
GCF_006231525.1_prophage_3,7,GCF_006231525.1
GCF_006231735.1_prophage_3,20,GCF_006231735.1
GCF_006231875.1_prophage_5,20,GCF_006231875.1
GCF_006232095.1_prophage_3,20,GCF_006232095.1
GCF_006232615.1_prophage_1,19,GCF_006232615.1
GCF_006232615.1_prophage_9,2,GCF_006232615.1
GCF_006232635.1_prophage_5,1,GCF_006232635.1
GCF_006232745.1_prophage_2,17,GCF_006232745.1
GCF_006232895.1_prophage_2,12,GCF_006232895.1
GCF_006232955.1_prophage_3,1,GCF_006232955.1
GCF_006233125.1_prophage_3,1,GCF_006233125.1
GCF_006233435.1_prophage_5,19,GCF_006233435.1
GCF_006233475.1_prophage_4,11,GCF_006233475.1
GCF_006233715.1_prophage_1,3,GCF_006233715.1
GCF_006233995.1_prophage_5,18,GCF_006233995.1
GCF_006233995.1_prophage_7,15,GCF_006233995.1
GCF_006234165.1_prophage_3,10,GCF_006234165.1
GCF_006234175.1_prophage_5,1,GCF_006234175.1
GCF_006234245.1_prophage_2,5,GCF_006234245.1
GCF_006234245.1_prophage_3,20,GCF_006234245.1
GCF_006234255.1_prophage_7,8,GCF_006234255.1
GCF_006234265.1_prophage_7,18,GCF_006234265.1
GCF_006234355.1_prophage_7,2,GCF_006234355.1
GCF_006234575.1_prophage_6,1,GCF_006234575.1
GCF_006234795.1_prophage_2,19,GCF_006234795.1
GCF_006234815.1_prophage_2,19,GCF_006234815.1
GCF_006234855.1_prophage_4,10,GCF_006234855.1
GCF_006234855.1_prophage_7,1,GCF_006234855.1
GCF_006234905.1_prophage_6,16,GCF_006234905.1
GCF_006234945.1_prophage_5,2,GCF_006234945.1
GCF_006234955.1_prophage_1,1,GCF_006234955.1
GCF_006234975.1_prophage_2,7,GCF_006234975.1
GCF_006235025.1_prophage_2,3,GCF_006235025.1
GCF_006235115.1_prophage_1,3,GCF_006235115.1
GCF_006235155.1_prophage_3,20,GCF_006235155.1
GCF_006235245.1_prophage_2,20,GCF_006235245.1
GCF_006235245.1_prophage_3,20,GCF_006235245.1
GCF_006235255.1_prophage_6,10,GCF_006235255.1
GCF_006235315.1_prophage_4,19,GCF_006235315.1
GCF_006235575.1_prophage_4,2,GCF_006235575.1
GCF_006235655.1_prophage_3,18,GCF_006235655.1
GCF_006235735.1_prophage_2,1,GCF_006235735.1
GCF_006235985.1_prophage_6,15,GCF_006235985.1
GCF_006236005.1_prophage_3,17,GCF_006236005.1
GCF_006236185.1_prophage_1,2,GCF_006236185.1
GCF_006236345.1_prophage_2,1,GCF_006236345.1
GCF_006236395.1_prophage_1,2,GCF_006236395.1
GCF_006236465.1_prophage_2,15,GCF_006236465.1
GCF_006236465.1_prophage_6,1,GCF_006236465.1
GCF_006236605.1_prophage_2,3,GCF_006236605.1
GCF_006237055.1_prophage_3,15,GCF_006237055.1
GCF_006237245.1_prophage_2,1,GCF_006237245.1
GCF_006237485.1_prophage_3,1,GCF_006237485.1
GCF_006237525.1_prophage_1,10,GCF_006237525.1
GCF_006237735.1_prophage_1,18,GCF_006237735.1
GCF_006237795.1_prophage_6,1,GCF_006237795.1
GCF_006237835.1_prophage_3,19,GCF_006237835.1
GCF_006238305.1_prophage_7,18,GCF_006238305.1
GCF_006238365.1_prophage_3,2,GCF_006238365.1
GCF_006238395.1_prophage_5,3,GCF_006238395.1
GCF_006238415.1_prophage_3,15,GCF_006238415.1
GCF_006238415.1_prophage_6,2,GCF_006238415.1
GCF_006238465.1_prophage_1,3,GCF_006238465.1
GCF_006239175.1_prophage_8,15,GCF_006239175.1
GCF_006240975.1_prophage_3,20,GCF_006240975.1
GCF_006240985.1_prophage_2,3,GCF_006240985.1
GCF_006241175.1_prophage_2,1,GCF_006241175.1
GCF_006297245.1_prophage_2,3,GCF_006297245.1
GCF_006297285.1_prophage_3,18,GCF_006297285.1
GCF_006297285.1_prophage_5,1,GCF_006297285.1
GCF_006297295.1_prophage_2,10,GCF_006297295.1
GCF_006297355.1_prophage_4,13,GCF_006297355.1
GCF_006335105.1_prophage_1,6,GCF_006335105.1
GCF_006337025.1_prophage_6,12,GCF_006337025.1
GCF_006348985.1_prophage_2,7,GCF_006348985.1
GCF_006349805.1_prophage_5,10,GCF_006349805.1
GCF_006349835.1_prophage_1,10,GCF_006349835.1
GCF_006350225.1_prophage_1,10,GCF_006350225.1
GCF_006350295.1_prophage_2,3,GCF_006350295.1
GCF_006350535.1_prophage_1,7,GCF_006350535.1
GCF_006351415.1_prophage_1,3,GCF_006351415.1
GCF_006351445.1_prophage_4,16,GCF_006351445.1
GCF_006352165.1_prophage_7,12,GCF_006352165.1
GCF_006370475.1_prophage_1,14,GCF_006370475.1
GCF_006376625.1_prophage_2,3,GCF_006376625.1
GCF_006376625.1_prophage_5,10,GCF_006376625.1
GCF_006382995.1_prophage_5,19,GCF_006382995.1
GCF_006384095.1_prophage_1,20,GCF_006384095.1
GCF_006537505.2_prophage_5,3,GCF_006537505.2
GCF_006540675.2_prophage_1,14,GCF_006540675.2
GCF_006542785.1_prophage_8,13,GCF_006542785.1
GCF_006542795.1_prophage_3,1,GCF_006542795.1
GCF_006542815.1_prophage_3,1,GCF_006542815.1
GCF_006542815.1_prophage_8,20,GCF_006542815.1
GCF_006542945.1_prophage_2,14,GCF_006542945.1
GCF_006542965.1_prophage_1,18,GCF_006542965.1
GCF_006546495.1_prophage_4,7,GCF_006546495.1
GCF_006777045.1_prophage_5,13,GCF_006777045.1
GCF_007012305.1_prophage_1,2,GCF_007012305.1
GCF_007107705.1_prophage_2,8,GCF_007107705.1
GCF_007109165.1_prophage_6,2,GCF_007109165.1
GCF_007109165.1_prophage_7,19,GCF_007109165.1
GCF_007109305.1_prophage_5,1,GCF_007109305.1
GCF_007109345.1_prophage_8,15,GCF_007109345.1
GCF_007109385.1_prophage_5,17,GCF_007109385.1
GCF_007109445.1_prophage_4,8,GCF_007109445.1
GCF_007109465.1_prophage_3,6,GCF_007109465.1
GCF_007109465.1_prophage_4,2,GCF_007109465.1
GCF_007352595.1_prophage_1,13,GCF_007352595.1
GCF_007352605.1_prophage_4,8,GCF_007352605.1
GCF_007558405.1_prophage_4,17,GCF_007558405.1
GCF_007558435.1_prophage_3,17,GCF_007558435.1
GCF_007558515.1_prophage_2,1,GCF_007558515.1
GCF_007558555.1_prophage_4,17,GCF_007558555.1
GCF_007558705.1_prophage_4,17,GCF_007558705.1
GCF_007558735.1_prophage_5,17,GCF_007558735.1
GCF_007558785.1_prophage_5,2,GCF_007558785.1
GCF_007623825.1_prophage_1,9,GCF_007623825.1
GCF_007625195.1_prophage_2,13,GCF_007625195.1
GCF_007625195.1_prophage_3,8,GCF_007625195.1
GCF_007826925.1_prophage_3,2,GCF_007826925.1
GCF_007833295.1_prophage_6,9,GCF_007833295.1
GCF_007833875.1_prophage_4,15,GCF_007833875.1
GCF_007844405.1_prophage_3,14,GCF_007844405.1
GCF_007844465.1_prophage_4,1,GCF_007844465.1
GCF_007844495.1_prophage_3,9,GCF_007844495.1
GCF_007844575.1_prophage_2,3,GCF_007844575.1
GCF_007844615.1_prophage_1,14,GCF_007844615.1
GCF_007844755.1_prophage_1,10,GCF_007844755.1
GCF_007954215.2_prophage_3,12,GCF_007954215.2
GCF_008033495.1_prophage_4,14,GCF_008033495.1
GCF_008033575.1_prophage_2,2,GCF_008033575.1
GCF_008033585.1_prophage_3,3,GCF_008033585.1
GCF_008033655.1_prophage_1,1,GCF_008033655.1
GCF_008040595.1_prophage_4,13,GCF_008040595.1
GCF_008040885.1_prophage_3,18,GCF_008040885.1
GCF_008040945.1_prophage_3,12,GCF_008040945.1
GCF_008041295.1_prophage_3,20,GCF_008041295.1
GCF_008041545.1_prophage_1,13,GCF_008041545.1
GCF_008041715.1_prophage_4,12,GCF_008041715.1
GCF_008041755.1_prophage_4,20,GCF_008041755.1
GCF_008041775.1_prophage_5,4,GCF_008041775.1
GCF_008080655.1_prophage_4,7,GCF_008080655.1
GCF_008080655.1_prophage_6,20,GCF_008080655.1
GCF_008081955.1_prophage_1,8,GCF_008081955.1
GCF_008082755.1_prophage_7,12,GCF_008082755.1
GCF_008082825.1_prophage_6,1,GCF_008082825.1
GCF_008120135.1_prophage_7,11,GCF_008120135.1
GCF_008120335.1_prophage_5,16,GCF_008120335.1
GCF_008120475.1_prophage_2,20,GCF_008120475.1
GCF_008120475.1_prophage_9,20,GCF_008120475.1
GCF_008122325.1_prophage_11,2,GCF_008122325.1
GCF_008124105.1_prophage_3,7,GCF_008124105.1
GCF_008124245.1_prophage_6,4,GCF_008124245.1
GCF_008124285.1_prophage_2,10,GCF_008124285.1
GCF_008124285.1_prophage_6,7,GCF_008124285.1
GCF_008326445.1_prophage_2,9,GCF_008326445.1
GCF_008326485.1_prophage_7,20,GCF_008326485.1
GCF_008329685.1_prophage_2,12,GCF_008329685.1
GCF_008364875.1_prophage_4,4,GCF_008364875.1
GCF_008365155.1_prophage_2,7,GCF_008365155.1
GCF_008365175.1_prophage_3,4,GCF_008365175.1
GCF_008373455.1_prophage_2,17,GCF_008373455.1
GCF_008373595.1_prophage_8,4,GCF_008373595.1
GCF_008385365.1_prophage_3,10,GCF_008385365.1
GCF_008385675.1_prophage_1,10,GCF_008385675.1
GCF_008388375.1_prophage_3,9,GCF_008388375.1
GCF_008388495.1_prophage_3,18,GCF_008388495.1
GCF_008388605.1_prophage_1,2,GCF_008388605.1
GCF_008388675.1_prophage_2,3,GCF_008388675.1
GCF_008388895.1_prophage_5,2,GCF_008388895.1
GCF_008388975.1_prophage_1,1,GCF_008388975.1
GCF_008388975.1_prophage_4,20,GCF_008388975.1
GCF_008389135.1_prophage_1,9,GCF_008389135.1
GCF_008389215.1_prophage_3,13,GCF_008389215.1
GCF_008389335.1_prophage_7,12,GCF_008389335.1
GCF_008462425.1_prophage_12,2,GCF_008462425.1
GCF_008462425.1_prophage_2,2,GCF_008462425.1
GCF_008502215.1_prophage_1,16,GCF_008502215.1
GCF_008632195.1_prophage_2,12,GCF_008632195.1
GCF_008632275.1_prophage_4,8,GCF_008632275.1
GCF_008632275.1_prophage_5,18,GCF_008632275.1
GCF_008632555.1_prophage_4,13,GCF_008632555.1
GCF_008633505.1_prophage_6,17,GCF_008633505.1
GCF_008633645.1_prophage_1,3,GCF_008633645.1
GCF_008633665.1_prophage_4,13,GCF_008633665.1
GCF_008633705.1_prophage_2,16,GCF_008633705.1
GCF_008633745.1_prophage_2,15,GCF_008633745.1
GCF_008633825.1_prophage_1,13,GCF_008633825.1
GCF_008633845.1_prophage_1,17,GCF_008633845.1
GCF_008634095.1_prophage_5,13,GCF_008634095.1
GCF_008634165.1_prophage_4,4,GCF_008634165.1
GCF_008634405.1_prophage_3,3,GCF_008634405.1
GCF_008634425.1_prophage_4,12,GCF_008634425.1
GCF_008634505.1_prophage_1,9,GCF_008634505.1
GCF_008634665.1_prophage_2,12,GCF_008634665.1
GCF_008634855.1_prophage_5,15,GCF_008634855.1
GCF_008634905.1_prophage_6,13,GCF_008634905.1
GCF_008635005.1_prophage_7,17,GCF_008635005.1
GCF_008635105.1_prophage_2,13,GCF_008635105.1
GCF_008635295.1_prophage_2,16,GCF_008635295.1
GCF_008635665.1_prophage_3,3,GCF_008635665.1
GCF_008635685.1_prophage_3,1,GCF_008635685.1
GCF_008635895.1_prophage_2,12,GCF_008635895.1
GCF_008635915.1_prophage_5,7,GCF_008635915.1
GCF_008635965.1_prophage_3,16,GCF_008635965.1
GCF_008693295.1_prophage_4,14,GCF_008693295.1
GCF_008727155.1_prophage_11,2,GCF_008727155.1
GCF_008727175.1_prophage_15,15,GCF_008727175.1
GCF_008806645.1_prophage_4,14,GCF_008806645.1
GCF_008824125.1_prophage_4,2,GCF_008824125.1
GCF_008925965.1_prophage_15,8,GCF_008925965.1
GCF_008926125.1_prophage_12,16,GCF_008926125.1
GCF_008926145.1_prophage_2,15,GCF_008926145.1
GCF_008926185.1_prophage_12,1,GCF_008926185.1
GCF_008926305.1_prophage_11,2,GCF_008926305.1
GCF_008931165.1_prophage_7,8,GCF_008931165.1
GCF_008931185.1_prophage_12,1,GCF_008931185.1
GCF_008931185.1_prophage_3,15,GCF_008931185.1
GCF_008933225.1_prophage_2,9,GCF_008933225.1
GCF_009361745.1_prophage_3,11,GCF_009361745.1
GCF_009361835.1_prophage_5,13,GCF_009361835.1
GCF_009361875.1_prophage_7,12,GCF_009361875.1
GCF_009361915.1_prophage_4,19,GCF_009361915.1
